"customer_id","customer_name","email","country","last_purchase_date","Total_Spent($)"
"CUST037","christopher evans ","christopher.e@ EMAIL.COM","SWITZERLAND","1/13/2024","4,500"
"CUST038"," Aria Edwards","aria.e @email.","israel","2/19/2024","11,200"
"CUST039","JOHNATHAN COLLINS ","johnathan.c @email.com","philippines","1/12/2024","6,300"
"CUST040","Ella Stewart ","ella.s @email.com","indonesia","2/20/2024","3,800"
"CUST041"," dylan morris","dylan.m @email.com","MALAYSIA","1/11/2024","13,800"
"CUST042","AVERY RIVERA ","avery.r @email com","chile","2/21/2024","7,200"
"CUST043","Samantha Cook ","SAMANTHA.C @EMAIL.COM","argentina","1/10/2024","4,900"
"CUST044"," NATHAN MORGAN","nathan.m @email.","PERU",NULL,"10,100"
"CUST045","penelope bell ","penelope.b @email.com","colombia","1/9/2024","5,700"
"CUST046","Christian Murphy ","christian.m @email.com","VENEZUELA","2/23/2024","2,700"
"CUST047"," Hannah Bailey","hannah.b @EMAIL.com","ecuador","1/8/2024","18,800"
"CUST048","Isaac Cooper ","isaac.c@ email com","uruguay","2/24/2024","8,100"
"CUST049"," LAYLA RICHARDSON","layla.r @email.com","BOLIVIA","1/7/2024","4,300"
"CUST050","Julian Cox ","JULIAN.C @EMAIL.","paraguay","2/25/2024","12,200"
"CUST051"," addison ward","addison.w @email.com","Costa Rica","1/6/2024","5,400"
"CUST052","LEVI TORRES ","levi.t @email.com","panama","2/26/2024","3,500"
"CUST053","Natalie Peterson ","natalie.p @ EMAIL.com","Puerto Rico","1/5/2024","14,600"
"CUST054"," gabriel gray","gabriel.g @email com","jamaica","2/27/2024","6,900"
"CUST055","Audrey Ramirez ","audrey.r @EMAIL.COM","CUBA","1/4/2024","4,600"
"CUST056"," JULIAN JAMES","julian.j @email.","Dominican Republic","2/28/2024","10,700"
"CUST057","Bella Watson ","bella.w @email.com","haiti","1/3/2024","6,100"
"CUST058"," DAVID BROOKS","david.b @email.com","bahamas","2/29/2024","3,900"
"CUST059"," lucy sanders","lucy.s @email.com","BARBADOS","1/2/2024","17,900"
"CUST060","Jonathan Price ","jonathan.p @email com",NULL,"3/1/2024","7,900"
"CUST061"," zachary bennett","SAVANNAH.B @EMAIL.","St. Vincent","1/1/2024","4,400"
"CUST062","SAVANNAH BARNES ","elijah.r @email.com","dominica","3/2/2024","9,800"
"CUST063","Elijah Ross ","maya.h @email.com","St. Kitts","2/29/2024","5,200"
"CUST064"," maya henderson","carter.c @ EMAIL.com","St. Lucia","2/28/2024","3,300"
"CUST065","Carter Coleman ","ellie.j @email com","trinidad","2/27/2024","13,100"
"CUST066"," ELLIE JENKINS","luke.p @EMAIL.COM","GUYANA","2/26/2024","7,500"
"CUST067","Luke Perry ","aubrey.p @email.","suriname","2/25/2024","4,800"
"CUST068"," AUBREY POWELL","isaiah.l @email.com","French Guiana","2/24/2024","11,400"
"CUST069","Isaiah Long  ","stella.p @email.com","liberia","2/23/2024","6,500"
NULL,NULL,NULL,NULL,NULL,NULL
"CUST071"," ADAM HUGHES","naomi.f @email com","NIGERIA","2/21/2024","19,200"
"CUST072","Naomi Flores ","ELIAS.W @EMAIL.COM","nigeria","2/20/2024","8,500"
"CUST073"," elias washington","hazel.b @email.","kenya","15-02-2024","4,700"
"CUST074","Hazel Butler ","nolan.s @email.com","ETHIOPIA","5-Mar-24","12,300"
"CUST075"," Nolan Simmons","violet.f @email.com","tanzania","28-Feb-24","7,000"
"CUST076","VIOLET FOSTER ","landon.g @EMAIL.com","uganda","1-Apr-24","4,200"
"CUST077"," landon gonzales","aurora.b @email com","rwanda","1-Jan-24","13,500"
"CUST078","Aurora Bryant ","asher.a @email.com","BURUNDI","31-Dec-23","7,700"
"CUST079"," ASHER ALEXANDER","CLARA.R @EMAIL.","madagascar","2/13/2024","4,900"
"CUST080","Clara Russell ","xavier.g @email.com","mozambique","2/12/2024","14,300"
"CUST081"," Xavier Griffin","skylar.d @email.com","zimbabwe","2/11/2024","8,200"
"CUST082","SKYLAR DIAZ ","leo.h @ EMAIL.com","ZAMBIA","2/10/2024","5,100"
"CUST083","Leo Hayes ","paisley.m @email com","botswana","2/9/2024","16,700"
"CUST084"," PAISLEY MYERS","josiah.f @EMAIL.COM","NAMIBIA","2/8/2024","7,300"
"CUST085","Josiah Ford ","everly.h @email.","lesotho","2/7/2024","4,500"
"CUST086"," EVERLY HAMILTON","adeline.g @email.com","eswatini","2/6/2024","11,900"
"CUST087","Adeline Graham ","jaxon.s @email.com","South Africa","2/5/2024","6,700"
"CUST088"," JAXON SULLIVAN","emilia.w @email.com","south africa","2/4/2024","4,100"
"CUST089","Emilia Wallace ","cooper.w @email com","algeria","2/3/2024","15,400"
"CUST090"," cooper woods","KAYLA.C @EMAIL.COM","MOROCCO","2/2/2024","8,800"
"CUST091","Kayla Cole ","myles.w @email.","tunisia","2/1/2024","5,300"
"CUST092"," myles west","isla.j @email.com","libya","1/31/2024","18,100"
"CUST093","Isla Jordan ","jordan.o @email.com","EGYPT","1/30/2024","7,600"
"CUST094"," JORDAN OWENS","kaiden.r @EMAIL.com","sudan","1/29/2024","4,600"
"CUST095","Kaiden Reynolds ","eva.f @email com","South Sudan","1/28/2024","12,800"
"CUST096"," Eva Fisher","brayden.e @email.com","senegal","1/27/2024","7,100"
"CUST097","BRAYDEN ELLIS ","AALIYAH.H @EMAIL.","mali","1/26/2024","4,300"
"CUST098","Aaliyah Harrison ","colton.g @email.com","Burkina Faso","1/25/2024","13,700"
"CUST099"," colton gibson","gianna.m @email.com","guinea","1/24/2024","7,800"
"CUST100","GIANNA MCDONALD ","hudson.c @ EMAIL.com","Sierra Leone","1/23/2024","4,900"
"CUST101","Hudson Cruz ","athena.m @email com","LIBERIA","1/22/2024","11,200"
"CUST102"," athena marshall","ezra.o @EMAIL.COM","Ivory Coast","1/21/2024","6,200"
"CUST103","Ezra Ortiz ","kinsley.g @email.","togo","1/20/2024","3,800"
"CUST104"," KINSLEY GOMEZ","damian.m @email.com","benin","1/19/2024","18,600"
"CUST105","Damian Murray ","archer.f @email.com","cameroon","1/18/2024","8,300"
"CUST106"," archer freeman","rylee.w @email.com","GABON","1/17/2024","5,100"
"CUST107","Rylee Wells ","roman.w @email com","congo","1/16/2024","14,100"
"CUST108"," ROMAN WEBB","LYDIA.S @EMAIL.COM","DR Congo","1/15/2024","7,400"
"CUST109","Lydia Simpson ","miles.s @email.","angola","1/14/2024","4,500"
"CUST110"," MILES STEVENS","anna.t @email.com","Namibia","1/13/2024","19,500"
"CUST111","Anna Tucker ","maxwell.p @email.com","BOTSWANA","1/12/2024","8,600"
"CUST112"," maxwell porter","nova.h @EMAIL.com","malawi","1/11/2024","5,200"
"CUST113","Nova Hunter ","kingston.h @email com","Zambia","1/10/2024","13,300"
"CUST114"," KINGSTON HICKS","emery.c @email.com","ZIMBABWE","1/9/2024","6,900"
"CUST115","Emery Crawford ","ROBERT.H @EMAIL.","mozambique","1/8/2024","4,200"
"CUST116"," ROBERT HENRY","madeline.b @email.com","MADAGASCAR","1/7/2024","17,200"
"CUST117","Madeline Boyd ","nicholas.m @email.com","mauritius","1/6/2024","9,100"
"CUST118"," nicholas mason","willow.m @ EMAIL.com","SEYCHELLES","1/5/2024","5,400"
"CUST119","Willow Morales ","theodore.k @email com","comoros","1/4/2024","14,700"
"CUST120"," theodore kennedy","quinn.w @EMAIL.COM","REUNION","1/3/2024","7,700"
"CUST121","Quinn Warren ","elias.d @email.","Algeria","1/2/2024","4,600"
"CUST122"," elias dixon","sadie.r @email.com","morocco","1/1/2024","18,900"
"CUST123","Sadie Ramos ","greyson.r @email.com","Tunisia","12/31/2023","8,400"
"CUST124"," GREYSON REYES","delilah.b @email.com","LIBYA","12/30/2023","5,000"
"CUST125","Delilah Burns ","jayden.g @email com","egypt","12/29/2023","13,900"
"CUST126"," JAYDEN GORDON","ADALYNN.S @EMAIL.COM","Sudan","12/28/2023","7,200"
"CUST127","Adalynn Shaw ","easton.h @email.","SOUTH SUDAN","12/27/2023","4,300"
"CUST128"," easton holmes","serenity.r @email.com","Senegal","12/26/2023","15,500"
"CUST129","Serenity Rice ","jeremiah.p @email.com","MALI","12/25/2023","8,000"
"CUST130"," JEREMIAH PERKINS","arabella.b @EMAIL.com","Burkina faso","12/24/2023","4,800"
"CUST131","Arabella Black ","ezekiel.d @email com","Guinea","12/23/2023","17,800"
"CUST132"," ezekiel daniels","eliana.n @email.com","Sierra leone","12/22/2023","8,700"
"CUST133","Eliana Nicholson ","WYATT.G @EMAIL.","Liberia","12/21/2023","5,200"
"CUST134"," WYATT GRANT","margaret.k @email.com","IVORY COAST","12/20/2023","14,400"
"CUST135","Margaret Knight ","hunter.f @email.com","Togo","12/19/2023","7,500"
"CUST136"," hunter ferguson","luna.r @ EMAIL.com","BENIN","12/18/2023","4,500"
NULL,NULL,NULL,NULL,NULL,NULL
"CUST138"," gavin stone","reagan.h @EMAIL.COM","gabon","12/16/2023","8,900"
"CUST139","Reagan Hawkins ","bryson.d @email.","Congo","12/15/2023","5,300"
"CUST140"," BRYSON DUNN","brielle.a @email.com","dr congo","12/14/2023","14,900"
"CUST141","Brielle Arnold ","kai.s @email.com","Angola","12/13/2023","7,800"
"CUST142"," Kai Spencer","aaliyah.g @email.com","namibia","12/12/2023","4,700"
"CUST143","AALIYAH GARDNER ","jonah.s @email com","botswana","12/11/2023","17,600"
"CUST144","Jonah Stephens ","MELODY.P @EMAIL.COM","Malawi","12/10/2023","8,100"
"CUST145"," MELODY PAYNE","dean.p @email.","zambia","12/9/2023","4,900"
"CUST146","Dean Pierce ","isabelle.b @email.com","zimbabwe","12/8/2023","13,600"
"CUST147"," isabelle berry","ashley.m @email.com","MOZAMBIQUE","12/7/2023","7,000"
"CUST148","Ashley Matthews ","sawyer.a @EMAIL.com","Madagascar","12/6/2023","4,200"
"CUST149"," SAWYER ARNOLD","allison.w @email com","Mauritius","12/5/2023","19,100"
"CUST150","Allison Wagner ","bentley.w @email.com","seychell","12/4/2023","8,300"
"CUST151"," bentley willis","ADALINE.R @EMAIL.","USA/UK","12/3/2023","5,000"
"CUST152","Adaline Ray ","max.l @email.com","U.S.A/U.K","12/2/2023","14,200"
"CUST153"," max lawson","emersyn.w @email.com","china/japan","12/1/2023","7,400"
"CUST154","Emersyn Watkins ","brooks.o @ EMAIL.com","canada/usa","11/30/2023","4,400"
"CUST155"," brooks olson","leilani.c @email com","aUStralia/NewZealand","11/29/2023","18,500"
"CUST156","Leilani Carr ","jude.m @EMAIL.COM","france/italy","11/28/2023","8,600"
"CUST157"," JUDE MALDONADO","mckenzie.d @email.","GERMANY/FRANCE","11/27/2023","5,100"
"CUST158","Mckenzie Day ","legend.s @email.com","mexico/usa","11/26/2023","15,300"
"CUST159"," legend salazar","kylie.n @email.com","U.S.A","11/25/2023","7,900"
"CUST160","Kylie Norman ","river.p @email.com","u.k","11/24/2023","4,700"
"CUST161"," RIVER PATTON","faith.s @email com","UAE","11/23/2023","18,000"
"CUST162","Faith Strickland ","EZEKIEL.T @EMAIL.COM","china","11/22/2023","8,200"
"CUST163"," ezekiel thornton","arabella.d @email.","CANADA","11/21/2023","4,900"
"CUST164","Arabella Dennis ","wade.r @email.com","spain","11/20/2023","14,800"
"CUST165"," WADE ROBBINS","summer.f @email.com","AUSTRALIA","11/19/2023","7,600"
"CUST166","Summer Fuller ","emilio.w @EMAIL.com","france","11/18/2023","4,500"
"CUST166","Summer Fuller ","emilio.w @EMAIL.com","france","11/18/2023","4,500"
"CUST168","Maya Johnston ","rowan.b @email.com","mexico","11/16/2023","8,400"
"CUST169"," rowan bauer","ARIEL.L @EMAIL.","U.S.A","11/15/2023","5,000"
"CUST170","Ariel Lane ","beckett.b @email.com","singapore","11/14/2023","15,700"
"CUST171"," BECKETT BROCK","ruth.p @email.com","INDIA","11/13/2023","8,100"
"CUST172","Ruth Poole ","enzo.l @ EMAIL.com","brazil","11/12/2023","4,800"
"CUST173"," enzo logan","harmony.o @email com","ITALY","11/11/2023","18,200"
"CUST174","Harmony Owen ","seth.z @EMAIL.COM","JAPAN","11/10/2023","8,300"
"CUST175"," SETH ZIMMERMAN","kendra.b @email.","South Korea","11/9/2023","4,900"
"CUST176","Kendra Blake ","gage.m @email.com","RUSSIA","11/8/2023","15,100"
"CUST177"," gage mack","brooklynn.c @email.com","egypt","11/7/2023","7,700"
"CUST178","Brooklynn Conner ","rhett.m @email.com","thailand","11/6/2023","4,600"
"CUST179"," RHETT MATHIS","marley.l @email com","Usa","11/5/2023","18,700"
"CUST180","Marley Love ","JAYSON.R @EMAIL.COM","netherlands","11/4/2023","8,500"
"CUST180","Marley Love ","JAYSON.R @EMAIL.COM","netherlands","11/4/2023","8,500"
"CUST182","Alexis Munoz ","alexis.m@email.","sweden","1/15/2024","12500"
