"customer_id","customer_name","email","country","last_purchase_date","Total_Spent($)","data_quality_flag"
"CUST052","Levi Torres","levi.t@email.com","Panama","2024-02-26","3500.00","OK"
"CUST053","Natalie Peterson","natalie.p@email.com","Puerto Rico","2024-01-05","14600.00","OK"
"CUST054","Gabriel Gray","gabriel.g@email.com","Jamaica","2024-02-27","6900.00","OK"
"CUST055","Audrey Ramirez","audrey.r@email.com","Cuba","2024-01-04","4600.00","OK"
"CUST056","Julian James","julian.j@email.com","Dominican Republic","2024-02-28","10700.00","OK"
"CUST057","Bella Watson","bella.w@email.com","Haiti","2024-01-03","6100.00","OK"
"CUST058","David Brooks","david.b@email.com","Bahamas","2024-02-29","3900.00","OK"
"CUST059","Lucy Sanders","lucy.s@email.com","Barbados","2024-01-02","17900.00","OK"
"CUST060","Jonathan Price","jonathan.p@email.com","Unknown","2024-03-01","7900.00","OK"
"CUST061","Zachary Bennett","savannah.b@email.com","St. Vincent","2024-01-01","4400.00","OK"
"CUST062","Savannah Barnes","elijah.r@email.com","Dominica","2024-03-02","9800.00","OK"
"CUST063","Elijah Ross","maya.h@email.com","St. Kitts","2024-02-29","5200.00","OK"
"CUST064","Maya Henderson","carter.c@email.com","St. Lucia","2024-02-28","3300.00","OK"
"CUST065","Carter Coleman","ellie.j@email.com","Trinidad","2024-02-27","13100.00","OK"
"CUST066","Ellie Jenkins","luke.p@email.com","Guyana","2024-02-26","7500.00","OK"
"CUST067","Luke Perry","aubrey.p@email.com","Suriname","2024-02-25","4800.00","OK"
"CUST068","Aubrey Powell","isaiah.l@email.com","French Guiana","2024-02-24","11400.00","OK"
"CUST069","Isaiah Long","stella.p@email.com","Liberia","2024-02-23","6500.00","OK"
"CUST071","Adam Hughes","naomi.f@email.com","Nigeria","2024-02-21","19200.00","OK"
"CUST072","Naomi Flores","elias.w@email.com","Nigeria","2024-02-20","8500.00","OK"
"CUST073","Elias Washington","hazel.b@email.com","Kenya","2024-02-15","4700.00","OK"
"CUST074","Hazel Butler","nolan.s@email.com","Ethiopia","2024-03-05","12300.00","OK"
"CUST075","Nolan Simmons","violet.f@email.com","Tanzania","2024-02-28","7000.00","OK"
"CUST076","Violet Foster","landon.g@email.com","Uganda","2024-04-01","4200.00","OK"
"CUST077","Landon Gonzales","aurora.b@email.com","Rwanda","2024-01-01","13500.00","OK"
"CUST078","Aurora Bryant","asher.a@email.com","Burundi","2023-12-31","7700.00","OK"
"CUST079","Asher Alexander","clara.r@email.com","Madagascar","2024-02-13","4900.00","OK"
"CUST080","Clara Russell","xavier.g@email.com","Mozambique","2024-02-12","14300.00","OK"
"CUST081","Xavier Griffin","skylar.d@email.com","Zimbabwe","2024-02-11","8200.00","OK"
"CUST082","Skylar Diaz","leo.h@email.com","Zambia","2024-02-10","5100.00","OK"
"CUST083","Leo Hayes","paisley.m@email.com","Botswana","2024-02-09","16700.00","OK"
"CUST084","Paisley Myers","josiah.f@email.com","Namibia","2024-02-08","7300.00","OK"
"CUST085","Josiah Ford","everly.h@email.com","Lesotho","2024-02-07","4500.00","OK"
"CUST086","Everly Hamilton","adeline.g@email.com","Eswatini","2024-02-06","11900.00","OK"
"CUST087","Adeline Graham","jaxon.s@email.com","South Africa","2024-02-05","6700.00","OK"
"CUST088","Jaxon Sullivan","emilia.w@email.com","South Africa","2024-02-04","4100.00","OK"
"CUST089","Emilia Wallace","cooper.w@email.com","Algeria","2024-02-03","15400.00","OK"
"CUST090","Cooper Woods","kayla.c@email.com","Morocco","2024-02-02","8800.00","OK"
"CUST091","Kayla Cole","myles.w@email.com","Tunisia","2024-02-01","5300.00","OK"
"CUST092","Myles West","isla.j@email.com","Libya","2024-01-31","18100.00","OK"
"CUST093","Isla Jordan","jordan.o@email.com","Egypt","2024-01-30","7600.00","OK"
"CUST094","Jordan Owens","kaiden.r@email.com","Sudan","2024-01-29","4600.00","OK"
"CUST095","Kaiden Reynolds","eva.f@email.com","South Sudan","2024-01-28","12800.00","OK"
"CUST096","Eva Fisher","brayden.e@email.com","Senegal","2024-01-27","7100.00","OK"
"CUST097","Brayden Ellis","aaliyah.h@email.com","Mali","2024-01-26","4300.00","OK"
"CUST098","Aaliyah Harrison","colton.g@email.com","Burkina Faso","2024-01-25","13700.00","OK"
"CUST099","Colton Gibson","gianna.m@email.com","Guinea","2024-01-24","7800.00","OK"
"CUST100","Gianna Mcdonald","hudson.c@email.com","Sierra Leone","2024-01-23","4900.00","OK"
"CUST101","Hudson Cruz","athena.m@email.com","Liberia","2024-01-22","11200.00","OK"
"CUST102","Athena Marshall","ezra.o@email.com","Ivory Coast","2024-01-21","6200.00","OK"
"CUST103","Ezra Ortiz","kinsley.g@email.com","Togo","2024-01-20","3800.00","OK"
"CUST104","Kinsley Gomez","damian.m@email.com","Benin","2024-01-19","18600.00","OK"
"CUST105","Damian Murray","archer.f@email.com","Cameroon","2024-01-18","8300.00","OK"
"CUST106","Archer Freeman","rylee.w@email.com","Gabon","2024-01-17","5100.00","OK"
"CUST107","Rylee Wells","roman.w@email.com","Congo","2024-01-16","14100.00","OK"
"CUST108","Roman Webb","lydia.s@email.com","Dr Congo","2024-01-15","7400.00","OK"
"CUST109","Lydia Simpson","miles.s@email.com","Angola","2024-01-14","4500.00","OK"
"CUST110","Miles Stevens","anna.t@email.com","Namibia","2024-01-13","19500.00","OK"
"CUST111","Anna Tucker","maxwell.p@email.com","Botswana","2024-01-12","8600.00","OK"
"CUST112","Maxwell Porter","nova.h@email.com","Malawi","2024-01-11","5200.00","OK"
"CUST113","Nova Hunter","kingston.h@email.com","Zambia","2024-01-10","13300.00","OK"
"CUST114","Kingston Hicks","emery.c@email.com","Zimbabwe","2024-01-09","6900.00","OK"
"CUST115","Emery Crawford","robert.h@email.com","Mozambique","2024-01-08","4200.00","OK"
"CUST116","Robert Henry","madeline.b@email.com","Madagascar","2024-01-07","17200.00","OK"
"CUST117","Madeline Boyd","nicholas.m@email.com","Mauritius","2024-01-06","9100.00","OK"
"CUST118","Nicholas Mason","willow.m@email.com","Seychelles","2024-01-05","5400.00","OK"
"CUST119","Willow Morales","theodore.k@email.com","Comoros","2024-01-04","14700.00","OK"
"CUST120","Theodore Kennedy","quinn.w@email.com","Reunion","2024-01-03","7700.00","OK"
"CUST121","Quinn Warren","elias.d@email.com","Algeria","2024-01-02","4600.00","OK"
"CUST122","Elias Dixon","sadie.r@email.com","Morocco","2024-01-01","18900.00","OK"
"CUST123","Sadie Ramos","greyson.r@email.com","Tunisia","2023-12-31","8400.00","OK"
"CUST124","Greyson Reyes","delilah.b@email.com","Libya","2023-12-30","5000.00","OK"
"CUST125","Delilah Burns","jayden.g@email.com","Egypt","2023-12-29","13900.00","OK"
"CUST126","Jayden Gordon","adalynn.s@email.com","Sudan","2023-12-28","7200.00","OK"
"CUST127","Adalynn Shaw","easton.h@email.com","South Sudan","2023-12-27","4300.00","OK"
"CUST128","Easton Holmes","serenity.r@email.com","Senegal","2023-12-26","15500.00","OK"
"CUST129","Serenity Rice","jeremiah.p@email.com","Mali","2023-12-25","8000.00","OK"
"CUST130","Jeremiah Perkins","arabella.b@email.com","Burkina Faso","2023-12-24","4800.00","OK"
"CUST131","Arabella Black","ezekiel.d@email.com","Guinea","2023-12-23","17800.00","OK"
"CUST132","Ezekiel Daniels","eliana.n@email.com","Sierra Leone","2023-12-22","8700.00","OK"
"CUST133","Eliana Nicholson","wyatt.g@email.com","Liberia","2023-12-21","5200.00","OK"
"CUST134","Wyatt Grant","margaret.k@email.com","Ivory Coast","2023-12-20","14400.00","OK"
"CUST135","Margaret Knight","hunter.f@email.com","Togo","2023-12-19","7500.00","OK"
"CUST136","Hunter Ferguson","luna.r@email.com","Benin","2023-12-18","4500.00","OK"
"CUST138","Gavin Stone","reagan.h@email.com","Gabon","2023-12-16","8900.00","OK"
"CUST139","Reagan Hawkins","bryson.d@email.com","Congo","2023-12-15","5300.00","OK"
"CUST140","Bryson Dunn","brielle.a@email.com","Dr Congo","2023-12-14","14900.00","OK"
"CUST141","Brielle Arnold","kai.s@email.com","Angola","2023-12-13","7800.00","OK"
"CUST142","Kai Spencer","aaliyah.g@email.com","Namibia","2023-12-12","4700.00","OK"
"CUST143","Aaliyah Gardner","jonah.s@email.com","Botswana","2023-12-11","17600.00","OK"
"CUST144","Jonah Stephens","melody.p@email.com","Malawi","2023-12-10","8100.00","OK"
"CUST145","Melody Payne","dean.p@email.com","Zambia","2023-12-09","4900.00","OK"
"CUST146","Dean Pierce","isabelle.b@email.com","Zimbabwe","2023-12-08","13600.00","OK"
"CUST147","Isabelle Berry","ashley.m@email.com","Mozambique","2023-12-07","7000.00","OK"
"CUST148","Ashley Matthews","sawyer.a@email.com","Madagascar","2023-12-06","4200.00","OK"
"CUST149","Sawyer Arnold","allison.w@email.com","Mauritius","2023-12-05","19100.00","OK"
"CUST150","Allison Wagner","bentley.w@email.com","Seychell","2023-12-04","8300.00","OK"
"CUST151","Bentley Willis","adaline.r@email.com","USA/UK","2023-12-03","5000.00","OK"
"CUST152","Adaline Ray","max.l@email.com","USA/UK","2023-12-02","14200.00","OK"
"CUST153","Max Lawson","emersyn.w@email.com","China/Japan","2023-12-01","7400.00","OK"
"CUST154","Emersyn Watkins","brooks.o@email.com","Canada/USA","2023-11-30","4400.00","OK"
"CUST155","Brooks Olson","leilani.c@email.com","Australia/Newzealand","2023-11-29","18500.00","OK"
"CUST156","Leilani Carr","jude.m@email.com","France/Italy","2023-11-28","8600.00","OK"
"CUST157","Jude Maldonado","mckenzie.d@email.com","Germany/France","2023-11-27","5100.00","OK"
"CUST158","Mckenzie Day","legend.s@email.com","Mexico/USA","2023-11-26","15300.00","OK"
"CUST159","Legend Salazar","kylie.n@email.com","USA","2023-11-25","7900.00","OK"
"CUST160","Kylie Norman","river.p@email.com","UK","2023-11-24","4700.00","OK"
"CUST161","River Patton","faith.s@email.com","UAE","2023-11-23","18000.00","OK"
"CUST162","Faith Strickland","ezekiel.t@email.com","China","2023-11-22","8200.00","OK"
"CUST163","Ezekiel Thornton","arabella.d@email.com","Canada","2023-11-21","4900.00","OK"
"CUST164","Arabella Dennis","wade.r@email.com","Spain","2023-11-20","14800.00","OK"
"CUST165","Wade Robbins","summer.f@email.com","Australia","2023-11-19","7600.00","OK"
"CUST166","Summer Fuller","emilio.w@email.com","France","2023-11-18","4500.00","OK"
"CUST168","Maya Johnston","rowan.b@email.com","Mexico","2023-11-16","8400.00","OK"
"CUST169","Rowan Bauer","ariel.l@email.com","USA","2023-11-15","5000.00","OK"
"CUST170","Ariel Lane","beckett.b@email.com","Singapore","2023-11-14","15700.00","OK"
"CUST171","Beckett Brock","ruth.p@email.com","India","2023-11-13","8100.00","OK"
"CUST172","Ruth Poole","enzo.l@email.com","Brazil","2023-11-12","4800.00","OK"
"CUST173","Enzo Logan","harmony.o@email.com","Italy","2023-11-11","18200.00","OK"
"CUST174","Harmony Owen","seth.z@email.com","Japan","2023-11-10","8300.00","OK"
"CUST175","Seth Zimmerman","kendra.b@email.com","South Korea","2023-11-09","4900.00","OK"
"CUST176","Kendra Blake","gage.m@email.com","Russia","2023-11-08","15100.00","OK"
"CUST177","Gage Mack","brooklynn.c@email.com","Egypt","2023-11-07","7700.00","OK"
"CUST178","Brooklynn Conner","rhett.m@email.com","Thailand","2023-11-06","4600.00","OK"
"CUST179","Rhett Mathis","marley.l@email.com","USA","2023-11-05","18700.00","OK"
"CUST180","Marley Love","jayson.r@email.com","Netherlands","2023-11-04","8500.00","OK"
"CUST182","Alexis Munoz","alexis.m@email.com","Sweden","2024-01-15","12500.00","OK"
